nivel,numeropregunta,pregunta,respuestafalsa3,respuestafalsa1,respuestafalsa2,respuestaverdadera
1,1,¿Que es un avión?,Es un animal,Es un vegetal,Es un ser vivo,Es una maquina
1,2,¿Qué es un arbol?,Es un ser humano,Es un animal,Es una cosa,Es una planta
1,3,¿Que es un perro?,Es un vegetal,Es un ser humano,Es una maquina,Es un animal
1,4,¿Qué es un billete?,Es un ser humano,Es un animal,Es una cosa,Es elemento fisico de pago
1,5,¿Quién escribió La Odisea?,Homero Jay Simpson,Aquiles,Andres Lozada,Homero
2,1,¿Cuál es el lugar más frío de la tierra?,Colombia,Mexico,Egipto,La Antartida
2,2,¿En qué continente está Ecuador?,Europa,Asia,NorteAmerica,America del sur
2,3,¿De que nacionalidad es James Rodriguez?,Francia,Brazil,Argentina,Colombia
2,4,¿Qué equipo gano la copa America 2021?,Bolivia,Peru,Brazil,Argentina
2,5,¿Cula es el nombre del presidente de Colombia actual?,Gustavo Petro,Claudia Lopez,Alvaro Uribe,Ivan Duque
3,1,¿Cómo se llama la Reina del Reino Unido?,Catalina IV,Lucia III,Maria II,Isabel II
3,2,¿De qué colores es la bandera de México?,Amarillo verde y azul,Verde rojo blanco,Azul amarillo y rojo,Verde blanco y rojo
3,3,¿Qué cantidad de huesos en el cuerpo humano?,200,208,204,206
3,4,¿Quién es el autor de el Quijote?,Pablo Neruda,Pablo Picaso,Gabriel Marquez,Miqguel de Cervantes
3,5, ¿En qué país se encuentra la torre de Pisa?,Francia,España,Portugal,Italia
4,1,¿Cuándo acabó la II Guerra Mundial?,1949,1941,1942,1945
4,2,¿Cuál es el océano más grande?,Atlantico,Indico,Antartico,Pacifico
4,3,¿Qué año llegó Cristóbal Colón a América?,1493,1498,1494,1492
4,4,¿Qué producto cultiva más Guatemala?,Frijol,Tomate,Aguacate,Café
4,5,¿Cuál es el país más grande del mundo?,China,Japon,India,Rusia
5,1,¿Cual es país más poblado de la Tierra?,Rusia,India,Japon,China
5,2,¿Con qué se fabricaba el pergamino?,Papel,Piel humana,Plastico,Piel animal
5,3, ¿Cómo se llama el animal más rápido del mundo?,Leon,Tigre,Hiena,Guepardo
5,4, ¿A qué ciudad de Brazil pertenecen los cariocas?,Sao Paulo,Brazilia,Fortaleza,Rio de Janeiro
5,5,¿Cuál fue el primer metal que empleó el hombre?,Oro,Plata,Hierro,Cobre
